Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
24,175,Genetics,Bachelors,"$52,200","$104,100",72%
0,175,International Business,Bachelors,"$55,300","$104,100",39%
1,177,Agricultural Engineering (AE),Bachelors,"$63,100","$104,000",63%
2,178,Consumer Economics,Bachelors,"$53,700","$103,800",40%
3,179,Finance & Marketing,Bachelors,"$56,800","$103,700",46%
4,180,Computer Information Systems (CIS),Bachelors,"$60,500","$103,500",47%
5,181,Business Finance,Bachelors,"$57,200","$103,300",42%
6,182,Psychobiology,Bachelors,"$49,600","$103,100",65%
7,182,Strategic Management,Bachelors,"$66,200","$103,100",47%
8,182,Construction Trades,Bachelors,"$61,900","$103,100",48%
9,185,Operations Management (OM),Bachelors,"$61,500","$103,000",45%
10,186,Entrepreneurship & Leadership,Bachelors,"$57,100","$102,900",43%
11,187,Electrical Engineering Technology (EET),Bachelors,"$66,300","$102,800",47%
12,188,Computer Science & Information Technology,Bachelors,"$66,000","$102,700",50%
13,188,Food Marketing,Bachelors,"$56,300","$102,700",24%
14,190,International Marketing,Bachelors,"$59,000","$102,600",22%
15,190,Network Engineering,Bachelors,"$60,700","$102,600",55%
16,192,Building Construction Management,Bachelors,"$61,300","$102,400",63%
17,193,Engineering Technology (ET),Bachelors,"$58,400","$102,300",47%
18,194,International Relations,Bachelors,"$52,800","$102,200",49%
19,194,Management & Finance,Bachelors,"$56,800","$102,200",59%
20,194,Information Security,Bachelors,"$66,400","$102,200",48%
21,197,Business Operations,Bachelors,"$63,500","$102,100",-
22,198,Industrial Management,Bachelors,"$57,800","$102,000",53%
23,199,Architectural Engineering,Bachelors,"$65,000","$101,900",58%
24,199,Hotel Administration,Bachelors,"$64,900","$101,900",35%
0,201,Manufacturing,Bachelors,"$57,600","$101,500",48%
1,202,Agricultural Economics & Business,Bachelors,"$54,900","$101,400",56%
2,203,Web Development,Bachelors,"$56,400","$101,300",46%
3,204,Aviation,Bachelors,"$54,000","$101,200",48%
4,204,Telecommunications Management,Bachelors,"$55,000","$101,200",42%
5,206,Property Management,Bachelors,"$55,200","$101,000",47%
6,207,Comparative Literature,Bachelors,"$48,100","$100,900",46%
7,208,Construction Science & Management,Bachelors,"$64,700","$100,800",71%
8,209,Biotechnology,Bachelors,"$53,100","$100,700",59%
9,210,Industrial & Labor Relations,Bachelors,"$69,800","$100,600",44%
10,210,Real Estate,Bachelors,"$59,900","$100,600",36%
11,212,Mechanical Engineering Technology (MET),Bachelors,"$64,200","$100,400",48%
12,213,Labor Relations,Bachelors,"$53,000","$100,300",41%
13,214,Electronics,Bachelors,"$57,500","$100,200",63%
14,215,Biochemistry (BCH),Bachelors,"$50,400","$99,900",62%
15,215,Politics,Bachelors,"$53,000","$99,900",51%
16,217,Accounting & Auditing,Bachelors,"$57,800","$99,800",45%
17,218,Chinese Language,Bachelors,"$54,200","$99,600",43%
18,219,Information Science (IS),Bachelors,"$66,300","$99,500",36%
19,220,East Asian Studies,Bachelors,"$49,800","$99,400",42%
20,221,Accounting & Finance,Bachelors,"$59,200","$99,300",45%
21,221,Network Security,Bachelors,"$62,300","$99,300",50%
22,223,Information Technology (IT),Bachelors,"$59,100","$99,200",46%
23,224,Aviation Management,Bachelors,"$50,900","$99,100",58%
24,224,Occupational Health and Safety,Bachelors,"$59,900","$99,100",69%
0,226,Agribusiness,Bachelors,"$50,700","$98,900",53%
1,226,Business & Marketing,Bachelors,"$51,000","$98,900",45%
2,226,Computer Engineering Technology (CET),Bachelors,"$63,000","$98,900",47%
3,229,Computer Security,Bachelors,"$68,100","$98,700",43%
4,230,Operations & Supply Chain Management,Bachelors,"$61,300","$98,600",45%
5,231,Entomology,Bachelors,"$45,900","$98,500",-
6,232,Music Production & Engineering,Bachelors,"$43,100","$98,400",43%
7,232,Industrial Engineering Technology,Bachelors,"$67,200","$98,400",53%
8,234,Logistics & Supply Chain Management,Bachelors,"$59,000","$98,300",47%
9,234,Supply Chain Management,Bachelors,"$61,700","$98,300",41%
10,234,Accounts,Bachelors,"$59,800","$98,300",44%
11,237,Economics & Management,Bachelors,"$54,400","$98,200",-
12,237,Environmental Policy Analysis & Planning,Bachelors,"$51,000","$98,200",65%
13,237,Physical Therapy,Bachelors,"$55,500","$98,200",88%
14,240,European History,Bachelors,"$52,300","$98,000",47%
15,240,Robotics & Automation,Bachelors,"$66,100","$98,000",63%
16,242,Geological Engineering,Bachelors,"$61,700","$97,900",54%
17,242,Manufacturing Technology,Bachelors,"$59,900","$97,900",46%
18,244,Chemistry,Bachelors,"$51,600","$97,500",55%
19,245,Business Logistics & Transportation,Bachelors,"$56,400","$97,400",44%
20,246,Food Science & Technology,Bachelors,"$53,100","$97,300",49%
21,247,City & Regional Planning,Bachelors,"$51,800","$97,200",70%
22,247,Civil Engineering Technology (CET),Bachelors,"$58,300","$97,200",60%
23,249,Electronics Engineering Technology (EET),Bachelors,"$64,300","$97,100",50%
24,249,English & Psychology,Bachelors,"$42,600","$97,100",-
