Release_Date,Rank,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,USD_Profit,Decade
1972-01-01,4686,Conquest of the Planet of the Apes,1700000,9700000,9700000,8000000,1970
1972-03-15,3709,The Godfather,7000000,268500000,134966411,261500000,1970
1972-06-21,4275,Frenzy,3500000,12600000,12600000,9100000,1970
1972-06-30,5356,Deep Throat,25000,45000000,45000000,44975000,1970
1972-08-30,5314,The Last House on the Left,87000,3100000,3100000,3013000,1970
1972-09-11,4239,1776,4000000,0,0,-4000000,1970
1972-11-08,4548,Everything You Always Wanted to Know,2000000,18016290,18016290,16016290,1970
1973-01-01,4665,Battle for the Planet of the Apes,1800000,8800000,8800000,7000000,1970
1973-05-23,4106,Pat Garrett and Billy the Kid,4638783,11000000,8000000,6361217,1970
1973-06-27,3714,Live and Let Die,7000000,161800000,35400000,154800000,1970
1973-08-22,3926,High Plains Drifter,5500000,15700000,15700000,10200000,1970
1973-11-08,4994,American Graffiti,777000,140000000,115000000,139223000,1970
1973-12-17,4547,Sleeper,2000000,18344729,18344729,16344729,1970
1973-12-25,3921,The Sting,5500000,159616327,159616327,154116327,1970
1973-12-26,3121,The Exorcist,12000000,400214478,202347346,388214478,1970
1974-01-01,4458,Blazing Saddles,2600000,119500000,119500000,116900000,1970
1974-03-29,3720,The Great Gatsby,7000000,26533200,26533200,19533200,1970
1974-07-04,4696,The Conversation,1600000,4420000,4420000,2820000,1970
1974-10-18,5280,The Texas Chainsaw Massacre,140000,26572439,26572439,26432439,1970
1974-11-12,3038,The Godfather: Part II,13000000,57300000,57300000,44300000,1970
1974-11-15,5049,Benji,500000,31559560,31559560,31059560,1970
1974-12-15,4442,Young Frankenstein,2800000,86300000,86300000,83500000,1970
1974-12-17,2961,Towering Inferno,14000000,139700000,116000000,125700000,1970
1974-12-17,4176,The Front Page,4000000,15000000,15000000,11000000,1970
1974-12-20,3726,The Man with the Golden Gun,7000000,97600000,21000000,90600000,1970
1975-01-01,3261,Barry Lyndon,11000000,20169934,20000000,9169934,1970
1975-01-04,5176,Death Race 2000,300000,0,0,-300000,1970
1975-05-16,3968,The Return of the Pink Panther,5000000,41833347,41833347,36833347,1970
1975-06-20,3120,Jaws,12000000,470700000,260000000,458700000,1970
1975-09-26,4791,The Rocky Horror Picture Show,1200000,140556781,140510017,139356781,1970
1975-10-05,5125,Monty Python and the Holy Grail,400000,5028948,3427696,4628948,1970
1975-10-06,4344,Love and Death,3000000,20123742,20123742,17123742,1970
1975-11-19,4145,One Flew Over the Cuckoo's Nest,4400000,108981275,108981275,104581275,1970
1976-01-01,3723,Logan's Run,7000000,25000000,25000000,18000000,1970
1976-01-01,4251,Network,3800000,23689877,23689877,19889877,1970
1976-01-01,4805,The Blue Bird,1200000,887000,887000,-313000,1970
